country_name,gdp,region,year
Saint Kitts and Nevis,1069.0,Americas,2023
Saint Vincent and the Grenadines,1039.0,Americas,2023
Samoa,939.0,Oceania,2023
Dominica,697.0,Americas,2023
São Tomé and Príncipe,674.0,Africa,2023
Tonga,547.0,Oceania,2023
Micronesia,458.0,Oceania,2023
Marshall Islands,277.0,Oceania,2023
Palau,267.0,Oceania,2023
Kiribati,246.0,Oceania,2023
Nauru,150.0,Oceania,2023
Tuvalu,63.0,Oceania,2023
